"TARGET_FID","soil_mu","SSURGO_dat","MLRA","LRU","esite","esite_alt","esite_alt2","state_code","dom1","dom2","dom3","dom4","grass_dur","ration","ration_dat","remarks"
"1992","914","NM690","42X","42.2","Gravelly","Limestone hills","Sandy","560","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Limestone hills","Gravelly","","563","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Limestone hills","Gravelly","","536","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Limestone hills","Gravelly","","536","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Loamy","Sandy","Gravelly","247","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2415","914","NM690","42X","42.2","Gravelly","Limestone hills","","650","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2415","914","NM690","42X","42.2","Gravelly","Limestone hills","","650","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2415","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Gravelly","Limestone hills","","650","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1944","930","NM690","42X","42.2","Gravelly","Limestone hills","","560","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"1992","914","NM690","42X","42.2","Gravelly","Limestone hills","","560","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2793","915","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2793","915","NM690","42X","42.2","Gravelly","Limestone hills","","560","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2793","915","NM690","42X","42.2","Gravelly","Limestone hills","","560","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2358","914","NM690","42X","42.2","Gravelly","Sandy","","560","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2358","914","NM690","42X","42.2","Gravelly","Limestone hills","","560","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2427","914","NM690","42X","42.2","Limestone hills","Gravelly","","526","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"2358","914","NM690","42X","42.2","Gravelly","Limestone hills","Draw","560","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2427","914","NM690","42X","42.2","Limestone hills","Gravelly","","536","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"2427","914","NM690","42X","42.2","Gravelly","Limestone hills","","560","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
"2349","914","NM690","42X","42.2","Drainage","Draw","","537","<Null>","<Null>","<Null>","<Null>","perennial","photo interpretation","<Null>","<Null>"
